#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,libX11-devel,"is required for the compilation of some programs."
V,libXinerama-devel,"is required for the compilation of some programs."
V,libXft-devel,"is required for the compilation of some programs."
V,libEGL,"is required for the compilation of some programs."
V,xf86-video-amdgpu,"is the graphics-driver"
,xcompmgr,"is for transparency and removing screen-tearing."
,xwallpaper,"sets the wallpaper."
,sxhkd,"binds keys."
,htop,"is the task-manager"
V,man-pages-devel,"are all man pages for c"
V,man-pages-posix,"are all posix application man pages"
,neovim,"a tidier vim with some useful features"
,fzf,"is a fuzzy finder tool."
,unclutter,"hides an inactive mouse."
V,unclutter-xfixes,"hides an inactive mouse."
,xclip,"allows for copying and pasting from the command line."
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
V,xsetroot,"sets status bar and other X properies."
V,xset,"allows speeding up the X rate."
V,simple-mtpfs,"enables the mounting of cell phones."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
V,dbus,"facilitates inter-process-communication."
,gcr-devel," is needed for the notification-daemon"
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/skywalker1807/dwm.git,"is the window manager."
G,https://git.suckless.org/st,"is suckless's basic build of suckless's terminal emulator."
G,https://github.com/clamiax/snore.git,"simple visual Timer used for pomodoro"
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,vifm,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,alsa-utils,"is an audio interface for ALSA."
,ffmpeg,"can record and splice video and audio on the command line."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,mediainfo,"shows audio and video information."
,lynx,"is a terminal browser which can also view images."
,sxiv,"is a minimalist image viewer."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
